Commit Hash,Class Name,LOC,LCOM,CBO,ELOC,COH,McCabe,TCC,HALSTAD,DIT,NOC,RFC,MESSAGE
ebe9c6d4350c4f890f014b582d6da8b9b5fe98d1,ExceptionTest,29,3,1,19,0,3,0,191,1,0,4,"[Communication]: Remove unused code in pom and test files (#21654)

* Remove unused code in pom and test files

* Restore unintended change

* Revert a test file change

* Restore tests.yml

* Remove unused env variable in tests.yml

* Remove tests.yml

* Keep skipping SMS tests in INT

* Try to skip jacoco in INT

* try different syntax

* Try use string as much as we can

* Try escape quotes

* Try use a variable inside loop

* Fix a typo

* Move variable to a different place

* Try Macro syntax

* Remove variable, use stage name instead

* Fix syntax

* Try a different syntax

* Try something simple

* Move variables to the right place

* Flip logic

* Renamve variable

* Give up on customizing jacoco.skip

* Try to use variable to skp jacoco

* Try different syntax

* Move variable declaration

* Try to set variable

* Try PreSteps

* Remove local variable

* Remove unnecessary overwrite

* Remove quotes

Co-authored-by: JP Chen <jiach@microsoft.com>"
ebe9c6d4350c4f890f014b582d6da8b9b5fe98d1,NoOpTest,26,3,1,14,0,3,0,145,1,0,4,"[Communication]: Remove unused code in pom and test files (#21654)

* Remove unused code in pom and test files

* Restore unintended change

* Revert a test file change

* Restore tests.yml

* Remove unused env variable in tests.yml

* Remove tests.yml

* Keep skipping SMS tests in INT

* Try to skip jacoco in INT

* try different syntax

* Try use string as much as we can

* Try escape quotes

* Try use a variable inside loop

* Fix a typo

* Move variable to a different place

* Try Macro syntax

* Remove variable, use stage name instead

* Fix syntax

* Try a different syntax

* Try something simple

* Move variables to the right place

* Flip logic

* Renamve variable

* Give up on customizing jacoco.skip

* Try to use variable to skp jacoco

* Try different syntax

* Move variable declaration

* Try to set variable

* Try PreSteps

* Remove local variable

* Remove unnecessary overwrite

* Remove quotes

Co-authored-by: JP Chen <jiach@microsoft.com>"
ebe9c6d4350c4f890f014b582d6da8b9b5fe98d1,NullInputStream,18,0,2,8,0,1,0,97,1,0,1,"[Communication]: Remove unused code in pom and test files (#21654)

* Remove unused code in pom and test files

* Restore unintended change

* Revert a test file change

* Restore tests.yml

* Remove unused env variable in tests.yml

* Remove tests.yml

* Keep skipping SMS tests in INT

* Try to skip jacoco in INT

* try different syntax

* Try use string as much as we can

* Try escape quotes

* Try use a variable inside loop

* Fix a typo

* Move variable to a different place

* Try Macro syntax

* Remove variable, use stage name instead

* Fix syntax

* Try a different syntax

* Try something simple

* Move variables to the right place

* Flip logic

* Renamve variable

* Give up on customizing jacoco.skip

* Try to use variable to skp jacoco

* Try different syntax

* Move variable declaration

* Try to set variable

* Try PreSteps

* Remove local variable

* Remove unnecessary overwrite

* Remove quotes

Co-authored-by: JP Chen <jiach@microsoft.com>"
ebe9c6d4350c4f890f014b582d6da8b9b5fe98d1,NullOutputStream,20,3,1,11,0,3,0,123,1,0,3,"[Communication]: Remove unused code in pom and test files (#21654)

* Remove unused code in pom and test files

* Restore unintended change

* Revert a test file change

* Restore tests.yml

* Remove unused env variable in tests.yml

* Remove tests.yml

* Keep skipping SMS tests in INT

* Try to skip jacoco in INT

* try different syntax

* Try use string as much as we can

* Try escape quotes

* Try use a variable inside loop

* Fix a typo

* Move variable to a different place

* Try Macro syntax

* Remove variable, use stage name instead

* Fix syntax

* Try a different syntax

* Try something simple

* Move variables to the right place

* Flip logic

* Renamve variable

* Give up on customizing jacoco.skip

* Try to use variable to skp jacoco

* Try different syntax

* Move variable declaration

* Try to set variable

* Try PreSteps

* Remove local variable

* Remove unnecessary overwrite

* Remove quotes

Co-authored-by: JP Chen <jiach@microsoft.com>"
ebe9c6d4350c4f890f014b582d6da8b9b5fe98d1,PerfStressOptions,134,55,2,93,0,11,0,768,0,0,11,"[Communication]: Remove unused code in pom and test files (#21654)

* Remove unused code in pom and test files

* Restore unintended change

* Revert a test file change

* Restore tests.yml

* Remove unused env variable in tests.yml

* Remove tests.yml

* Keep skipping SMS tests in INT

* Try to skip jacoco in INT

* try different syntax

* Try use string as much as we can

* Try escape quotes

* Try use a variable inside loop

* Fix a typo

* Move variable to a different place

* Try Macro syntax

* Remove variable, use stage name instead

* Fix syntax

* Try a different syntax

* Try something simple

* Move variables to the right place

* Flip logic

* Renamve variable

* Give up on customizing jacoco.skip

* Try to use variable to skp jacoco

* Try different syntax

* Move variable declaration

* Try to set variable

* Try PreSteps

* Remove local variable

* Remove unnecessary overwrite

* Remove quotes

Co-authored-by: JP Chen <jiach@microsoft.com>"
ebe9c6d4350c4f890f014b582d6da8b9b5fe98d1,PerfStressProgram,301,33,18,189,0,10,0,2070,0,0,89,"[Communication]: Remove unused code in pom and test files (#21654)

* Remove unused code in pom and test files

* Restore unintended change

* Revert a test file change

* Restore tests.yml

* Remove unused env variable in tests.yml

* Remove tests.yml

* Keep skipping SMS tests in INT

* Try to skip jacoco in INT

* try different syntax

* Try use string as much as we can

* Try escape quotes

* Try use a variable inside loop

* Fix a typo

* Move variable to a different place

* Try Macro syntax

* Remove variable, use stage name instead

* Fix syntax

* Try a different syntax

* Try something simple

* Move variables to the right place

* Flip logic

* Renamve variable

* Give up on customizing jacoco.skip

* Try to use variable to skp jacoco

* Try different syntax

* Move variable declaration

* Try to set variable

* Try PreSteps

* Remove local variable

* Remove unnecessary overwrite

* Remove quotes

Co-authored-by: JP Chen <jiach@microsoft.com>"
ebe9c6d4350c4f890f014b582d6da8b9b5fe98d1,PerfStressTest,74,21,1,51,0,7,0,508,0,0,11,"[Communication]: Remove unused code in pom and test files (#21654)

* Remove unused code in pom and test files

* Restore unintended change

* Revert a test file change

* Restore tests.yml

* Remove unused env variable in tests.yml

* Remove tests.yml

* Keep skipping SMS tests in INT

* Try to skip jacoco in INT

* try different syntax

* Try use string as much as we can

* Try escape quotes

* Try use a variable inside loop

* Fix a typo

* Move variable to a different place

* Try Macro syntax

* Remove variable, use stage name instead

* Fix syntax

* Try a different syntax

* Try something simple

* Move variables to the right place

* Flip logic

* Renamve variable

* Give up on customizing jacoco.skip

* Try to use variable to skp jacoco

* Try different syntax

* Move variable declaration

* Try to set variable

* Try PreSteps

* Remove local variable

* Remove unnecessary overwrite

* Remove quotes

Co-authored-by: JP Chen <jiach@microsoft.com>"
ebe9c6d4350c4f890f014b582d6da8b9b5fe98d1,RepeatingInputStream,73,5,2,48,0,7,1,504,1,0,10,"[Communication]: Remove unused code in pom and test files (#21654)

* Remove unused code in pom and test files

* Restore unintended change

* Revert a test file change

* Restore tests.yml

* Remove unused env variable in tests.yml

* Remove tests.yml

* Keep skipping SMS tests in INT

* Try to skip jacoco in INT

* try different syntax

* Try use string as much as we can

* Try escape quotes

* Try use a variable inside loop

* Fix a typo

* Move variable to a different place

* Try Macro syntax

* Remove variable, use stage name instead

* Fix syntax

* Try a different syntax

* Try something simple

* Move variables to the right place

* Flip logic

* Renamve variable

* Give up on customizing jacoco.skip

* Try to use variable to skp jacoco

* Try different syntax

* Move variable declaration

* Try to set variable

* Try PreSteps

* Remove local variable

* Remove unnecessary overwrite

* Remove quotes

Co-authored-by: JP Chen <jiach@microsoft.com>"
ebe9c6d4350c4f890f014b582d6da8b9b5fe98d1,SleepTest,42,0,3,26,0,4,1,248,1,0,10,"[Communication]: Remove unused code in pom and test files (#21654)

* Remove unused code in pom and test files

* Restore unintended change

* Revert a test file change

* Restore tests.yml

* Remove unused env variable in tests.yml

* Remove tests.yml

* Keep skipping SMS tests in INT

* Try to skip jacoco in INT

* try different syntax

* Try use string as much as we can

* Try escape quotes

* Try use a variable inside loop

* Fix a typo

* Move variable to a different place

* Try Macro syntax

* Remove variable, use stage name instead

* Fix syntax

* Try a different syntax

* Try something simple

* Move variables to the right place

* Flip logic

* Renamve variable

* Give up on customizing jacoco.skip

* Try to use variable to skp jacoco

* Try different syntax

* Move variable declaration

* Try to set variable

* Try PreSteps

* Remove local variable

* Remove unnecessary overwrite

* Remove quotes

Co-authored-by: JP Chen <jiach@microsoft.com>"
ebe9c6d4350c4f890f014b582d6da8b9b5fe98d1,TestDataCreationHelper,150,26,7,106,0,8,0,1349,0,0,25,"[Communication]: Remove unused code in pom and test files (#21654)

* Remove unused code in pom and test files

* Restore unintended change

* Revert a test file change

* Restore tests.yml

* Remove unused env variable in tests.yml

* Remove tests.yml

* Keep skipping SMS tests in INT

* Try to skip jacoco in INT

* try different syntax

* Try use string as much as we can

* Try escape quotes

* Try use a variable inside loop

* Fix a typo

* Move variable to a different place

* Try Macro syntax

* Remove variable, use stage name instead

* Fix syntax

* Try a different syntax

* Try something simple

* Move variables to the right place

* Flip logic

* Renamve variable

* Give up on customizing jacoco.skip

* Try to use variable to skp jacoco

* Try different syntax

* Move variable declaration

* Try to set variable

* Try PreSteps

* Remove local variable

* Remove unnecessary overwrite

* Remove quotes

Co-authored-by: JP Chen <jiach@microsoft.com>"
