Commit Hash,Class Name,LOC,LCOM,CBO,ELOC,COH,McCabe,TCC,HALSTAD,DIT,NOC,RFC,MESSAGE
8217d359e077c2f73c4596e0e7c4445b2bab9401,HeadersBenchmark,167,0,13,55,0,1,0,413,0,0,1,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,DynamicIntegerSetProperty,43,10,1,17,0,5,0,111,1,0,6,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,PatternListStringProperty,56,1,5,23,0,2,0,365,1,0,10,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,AbstrHttpConnectionExpiryHandler,104,0,10,51,0,5,0,585,1,0,22,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,AccessLogChannelHandler,132,0,13,64,0,0,0,734,0,0,0,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,AccessLogPublisher,128,2,12,57,0,4,0,818,0,0,31,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,CategorizedThreadFactory,43,0,2,15,0,2,0,180,0,0,2,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,ChannelConfig,77,0,1,35,1,8,3,356,0,0,17,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,ChannelConfigKey,63,0,0,27,0,6,2,237,0,0,6,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,ChannelConfigValue,44,0,0,17,0,3,0,133,0,0,3,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,CommonChannelConfigKeys,65,0,6,35,0,0,0,468,0,0,0,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,CloseOnIdleStateHandler,41,0,5,16,1,2,0,212,1,0,5,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,ConnectionCloseChannelAttributes,44,1,6,14,0,2,0,156,0,0,8,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,Http1ConnectionCloseHandler,146,10,11,65,0,5,0,547,1,0,27,core: make session context final
