Commit Hash,Class Name,LOC,LCOM,CBO,ELOC,COH,McCabe,TCC,LCC,HALSTAD,DIT,NOC,RFC,ClassDataShouldBePrivate,ComplexClass,FunctionalDecomposition,GodClass,SpaghettiCode,MAINTAINABILITY
53aa752a1da29790ba177263ea45d53310e91be9,HeadersBenchmark,167,0,13,55,0,1,0,0,413,0,0,1,0,0,0,0,0,TRUE
53aa752a1da29790ba177263ea45d53310e91be9,DynamicIntegerSetProperty,43,10,1,17,0,5,0,0,111,1,0,6,0,0,0,0,0,TRUE
53aa752a1da29790ba177263ea45d53310e91be9,PatternListStringProperty,56,1,5,23,0,2,0,0,365,1,0,10,0,0,0,0,0,TRUE
53aa752a1da29790ba177263ea45d53310e91be9,AbstrHttpConnectionExpiryHandler,104,0,10,51,0,5,0,0,585,1,0,22,0,0,0,1,1,FALSE
a0cf67dcabfe7021ccc9c6431e017783c61a02a0,HeadersBenchmark,167,0,13,55,0,1,0,0,413,0,0,1,0,0,0,0,0,TRUE
a0cf67dcabfe7021ccc9c6431e017783c61a02a0,DynamicIntegerSetProperty,43,10,1,17,0,5,0,0,111,1,0,6,0,0,0,0,1,FALSE
a0cf67dcabfe7021ccc9c6431e017783c61a02a0,PatternListStringProperty,56,1,5,23,0,2,0,0,365,1,0,10,0,0,0,0,1,FALSE
a0cf67dcabfe7021ccc9c6431e017783c61a02a0,AbstrHttpConnectionExpiryHandler,104,0,10,51,0,5,0,0,585,1,0,22,0,0,0,0,0,TRUE
5b78ee28d8584e7c4e80d75b82791189a3381a4b,HeadersBenchmark,167,0,13,55,0,1,0,0,413,0,0,1,0,0,0,0,0,TRUE
5b78ee28d8584e7c4e80d75b82791189a3381a4b,DynamicIntegerSetProperty,43,10,1,17,0,5,0,0,111,1,0,6,0,0,0,0,0,TRUE
5b78ee28d8584e7c4e80d75b82791189a3381a4b,PatternListStringProperty,56,1,5,23,0,2,0,0,365,1,0,10,0,0,0,0,0,TRUE
5b78ee28d8584e7c4e80d75b82791189a3381a4b,AbstrHttpConnectionExpiryHandler,104,0,10,51,0,5,0,0,585,1,0,22,0,0,0,0,0,TRUE
dc4d229bce5ce25d9619f31d40c78f48bf5d5dd5,HeadersBenchmark,167,0,13,55,0,1,0,0,413,0,0,1,0,0,0,0,0,TRUE
dc4d229bce5ce25d9619f31d40c78f48bf5d5dd5,DynamicIntegerSetProperty,43,10,1,17,0,5,0,0,111,1,0,6,0,0,0,0,0,TRUE
dc4d229bce5ce25d9619f31d40c78f48bf5d5dd5,PatternListStringProperty,56,1,5,23,0,2,0,0,365,1,0,10,0,0,0,0,0,TRUE
dc4d229bce5ce25d9619f31d40c78f48bf5d5dd5,AbstrHttpConnectionExpiryHandler,104,0,10,51,0,5,0,0,585,1,0,22,0,0,0,0,0,TRUE
